symbol,stock_code
NAHARINDUS,NAHIND
ORIENTCER,ORIABR
KERNEX,KERMIC
REPRO,REPIND
HARRMALAYA,HARMAL
QUICKHEAL,QUIHEA
COMSYS,COMSYS
91D160323,TQC23C
182D150623,THF23C
EBBETF0433,BHABO6
GSEC10IETF,ICIBMG
PVRINOX,PVRLIM
GALAXYSURF,GALSUR
CELEBRITY,CELFAS
TECHNOFAB,TECENG
NITINSPIN,NITSPI
HATSUN-RE,HATRE1
ZICOM,ZICELE
ROHLTD,ROYORC
RCOM,RELCOM
TFLPP,TRAPP1
KSK,KSKENE
ENIL,ENTNET
GSPL,GSPL
COMMOIETF,ICICOM
RCAPVL,RCVL
SGBSEP27,SGBT31
JAGRAN,JAGPRA
ALLETEC,ALLETE
SULA,SULVIN
INOXLEISUR,INOX
GVKPIL,GVKPOW
SADBHAV,SADENG
SUNILHITEC,SUNHIT
SAKUMA,SAKEXP
91D230323,TQC23D
182D220623,THF23D
KEC,KECIN
364D211223,TYL23C
RSWM-RE,RSWRE1
HCL-INSYS,HCLINF
JKCEMENT,JKCEME
LANDMARK,LANCAR
INDOTECH,INDTEC
MARINE,MARELE
M&MFIN,MAHN16
AFSL,ABAHOL
BLKASHYAP,BLKASH
VISACHROME,VISST
ANDHRAPET,ANDPET
HDFC,HDFC
NITCO,NITLIM
IEL,INDENT
CENTURYPLY,CENPLY
KEI,KEIIND
MANPASAND,MANBEV
NITINFIRE,NITFIR
DOLLEX,DOLAGR
HDFCBANK,HDFWA2
AKG-RE,AKGRE1
SOLARINDS,SOLIN
GALLANTT,GALMET
ARIHANTACA,ARIACA
VAKRANGEE,VAKRAN
UMA,UMACON
MALUPAPER,MALPAP
KFINTECH,KFITEC
HEG,HEG
MURLIIND,MURAGR
SGL,STLGLO
758JH31,STAND6
UTTAMSUGAR,UTTSUG
SDBL,SOMDIS
KKCL,KEWKIR
ROHITFERRO,ROHFER
VARDHACRLC,VARACR
SUNTV,SUNTV
GPIL,GODPOW
585GS2030,585L30
APCL-RE,ANJRE1
RSYSTEMS,RSYSTE
SGBN28VIII,SGBT45
JETAIRWAYS,JETAIR
EMKAY,EMKGLO
ELIN,ELIELE
BHAGERIA,BHAGIN
KELLTONTEC,KELTEC
89IHFL24,IBHN77
93IHFL24,IBHN78
LOKESHMACH,LOKMAC
BALPHARMA,BALPHA
857IHFL24,IBHN79
894IHFL24,IBHN80
RATNAMANI,RATMET
IBHF24A,IBHN81
PRICOL-RE,PRIRE1
905IHFL25,IBHN82
KAMDHENU,KAMLIM
PIONEEREMB,PIOEMB
955IHFL25,IBHN83
GTNTEX,GTNTE
87IHFL25,IBHN84
HEROMOTOCO,HERHON
916IHFL25,IBHN85
98IHFL27,IBHN86
894SCL27,IBHN87
JKLAKSHMI,JKLAKS
939SCL27,IBHN88
PFOCUS,PRIFOC
965SCL25C,IBHN89
ALLCARGO,ALLLOG
MOXSH,MOXOVE
AKASH,AKAINF
MUNJALAU,MUNAUT
GAL-RE,GYSRE1
EMAMILTD,EMALIM
HOMESFY,HOMREA
GMRAIRPORT,GMRINF
PARAMPARA,AMJUM
NECCLTD,NOREAS
VIDHIING,VIDDYE
TECHM,TECMAH
ATNINTER,ATNINT
AVONMORE,ALLCAP
GRINDWELL,GRINOR
RAMANEWS,SHRAMA
RBMINFRA,RBMINF
MANUGRAPH,MANIND
VOLTAMP,VOLTRA
RADIANTCMS,RADCAS
ATLANTAA,ATLLIM
ACE,ACTCON
HGM,HOVSER
ANTELOPUS,SELEXP
ANDHRSUGAR,ANDSUG
HIMATSEIDE,HIMSEI
IRCTC,INDRAI
HINDUJAFO,HINFOU
GOLDKART,SONHIS
ANANTRAJ,ANARAJ
BILVYAPAR,BININD
91D060423,TQD23A
182D060723,THG23A
HINDALCO,HINDAL
364D040124,TYA24A
SKYGOLD,SKYGOL
ICSA,ICSA
JMFINANCIL,JMFINA
SGBDE30III,SGBT62
ELECON,ELEENG
BANKADD,DSPBAN
TALBROAUTO,TALAUT
ALICON,ALICAS
GEECEE,GEEVEN
ANLON,ANLTEC
MADHUCON,MADPRO
ANSALHSG,ANSHOU
NRL,NUPREC
ACLGATI,GATLIM
AERONEU,SAHPOL
INFOMEDIA,INFPRE
VISHWARAJ,VISSU
FIEMIND,FIEIND
HINDCOMPOS,HINCOM
JHS,JHSSVE
